17,7682647;1;;R1-R2;*10^4;10000
17,3539371;508;;0,0002995;2,995;
17,3531627;509;;-0,0007744;-7,744;
17,3533935;510;;0,0002308;2,308;
17,3534259;511;;3,24E-05;0,324;
17,353794;512;;0,0003681;3,681;
17,3535404;513;;-0,0002536;-2,536;
17,3541526;514;;0,0006122;6,122;
17,3543758;515;;0,0002232;2,232;
17,3543148;516;;-6,10E-05;-0,61;
17,3545398;517;;0,000225;2,25;
17,354784;518;;0,0002442;2,442;
17,3548088;519;;2,48E-05;0,248;
17,3549633;520;;0,0001545;1,545;
17,3547191;521;;-0,0002442;-2,442;
17,3554573;522;;0,0007382;7,382;
17,3554763;523;;1,90E-05;0,19;
17,3554801;524;;3,80E-06;0,038;
17,3550453;525;;-0,0004348;-4,348;
17,3544826;526;;-0,0005627;-5,627;
17,3548583;527;;0,0003757;3,757;
17,3555927;528;;0,0007344;7,344;
17,3557224;529;;0,0001297;1,297;
17,3564624;530;;0,00074;7,4;
17,3553543;531;;-0,0011081;-11,081;
17,3559246;532;;0,0005703;5,703;
17,3561058;533;;0,0001812;1,812;
17,3559646;534;;-0,0001412;-1,412;
17,356512;535;;0,0005474;5,474;
17,3565673;536;;5,53E-05;0,553;
17,3562545;537;;-0,0003128;-3,128;
17,3566017;538;;0,0003472;3,472;
17,3568611;539;;0,0002594;2,594;
17,3572311;540;;0,00037;3,7;
17,3569946;541;;-0,0002365;-2,365;
17,3572711;542;;0,0002765;2,765;
17,3573894;543;;0,0001183;1,183;
17,357666;544;;0,0002766;2,766;
17,3576717;545;;5,70E-06;0,057;
17,3571987;546;;-0,000473;-4,73;
17,357666;547;;0,0004673;4,673;
17,3573265;548;;-0,0003395;-3,395;
17,3577594;549;;0,0004329;4,329;
17,3576927;550;;-6,67E-05;-0,667;
17,3578701;551;;0,0001774;1,774;
17,3579959;552;;0,0001258;1,258;
17,3582229;553;;0,000227;2,27;
17,3579769;554;;-0,000246;-2,46;
17,3582878;555;;0,0003109;3,109;
17,3586597;556;;0,0003719;3,719;
17,358736;557;;7,63E-05;0,763;
17,3591041;558;;0,0003681;3,681;
17,3591995;559;;9,54E-05;0,954;
17,3593425;560;;0,000143;1,43;
17,3599109;561;;0,0005684;5,684;
17,3592662;562;;-0,0006447;-6,447;
17,3594913;563;;0,0002251;2,251;
17,3592052;564;;-0,0002861;-2,861;
17,3594207;565;;0,0002155;2,155;
17,35997;566;;0,0005493;5,493;
17,3597259;567;;-0,0002441;-2,441;
17,3602313;568;;0,0005054;5,054;
17,3598785;569;;-0,0003528;-3,528;
17,3604125;570;;0,000534;5,34;
17,3605842;571;;0,0001717;1,717;
17,3611564;572;;0,0005722;5,722;
17,3613758;573;;0,0002194;2,194;
17,3610782;574;;-0,0002976;-2,976;
17,3610153;575;;-6,29E-05;-0,629;
17,3613204;576;;0,0003051;3,051;
17,3616523;577;;0,0003319;3,319;
17,3614978;578;;-0,0001545;-1,545;
